Time (s),Induced Drag in Wind Axes (N),Crosswind Force in Wind Axes (N),Lift in Wind Axes (N),Induced Drag Coefficient in Wind Axes,Crosswind Force Coefficient in Wind Axes,Lift Coefficient in Wind Axes,Rolling Moment in Wind Axes Relative to the CG (N*m),Pitching Moment in Wind Axes Relative to the CG (N*m),Yawing Moment in Wind Axes Relative to the CG (N*m),Rolling Moment Coefficient in Wind Axes Relative to the CG,Pitching Moment Coefficient in Wind Axes Relative to the CG,Yawing Moment Coefficient in Wind Axes Relative to the CG
0.80104,6.565996879498005,-8.583439726988701e-14,410.7165121721797,0.006464164054989578,-8.450318142035414e-17,0.4043466610628474,-9.996258690297874e-12,11.920092971363081,3.3125828685233214e-13,-9.841225528444197e-16,0.011735222835425746,3.2612076278537355e-17
0.8139599999999999,6.55139678520149,1.771048002439562e-14,410.870823586624,0.006448425969796804,1.7432117618772477e-17,0.40441300930398494,1.0634335960460245e-11,11.451487828246032,-2.536810249458741e-13,1.0467192024435877e-15,0.011271500402978975,-2.4969382300286592e-17
0.82688,6.537332250028772,2.470203645552259e-13,411.01446723853184,0.006433190985737478,2.430852711430218e-16,0.40446690859791895,-4.7290424016216246e-12,11.0124195441857,1.5461975402376657e-12,-4.653707626554953e-16,0.010836989070350968,1.5215662440872016e-16
0.8398,6.5238098065814505,1.1031139585200723e-13,411.1486492905948,0.006418465981324755,1.0853013233375862e-16,0.40450958825884914,-8.835035245610697e-12,10.600367675379712,1.1693956115667348e-12,-8.69237069274292e-16,0.01042919725301005,1.1505126872306275e-16
0.8527199999999999,6.510830352672546,-2.53301557915679e-13,411.2744728656967,0.006404252242472092,-2.491551741380089e-16,0.4045421739548947,2.8747233463983284e-12,10.212967279212243,-1.0272142944648063e-12,2.827665971991008e-16,0.010045787565842708,-1.0103994563650833e-16
0.86564,6.498389160464864,1.8218487953898168e-13,411.39295312799334,0.0063905454796156025,1.7916143980347074e-16,0.4045657026748061,-1.2001811468003755e-11,9.847874881437692,1.1866569711273585e-12,-1.180263602719716e-15,0.009684444983730363,1.1669638668038472e-16
0.8785599999999999,6.486476502064605,-3.2407888484824685e-13,411.5049883961126,0.0063773364510811455,-3.1862600361083817e-16,0.4045810944454902,1.548131287743458e-11,9.502855045128651,-2.437018162703806e-12,1.5220827654648942e-15,0.009342962061043436,-2.396013422080688e-16
0.8914799999999999,6.47508030353967,-4.558848265329427e-13,411.61140851871863,0.0063646135802910295,-4.481073009108529e-16,0.404589200079703,-5.0181179626847105e-12,9.175820353805921,-2.694961567138855e-12,-4.932507433976689e-16,0.009019278232305285,-2.6489847514628997e-16
0.9044,6.46418634314395,2.2239997612895682e-13,411.712943585708,0.006352363155876058,2.185527055122271e-16,0.4045907705623344,4.836743794270587e-12,8.86484977529676,1.4809966290646936e-12,4.753073541223631e-16,0.008711497798125481,1.455377045314502e-16
0.9173199999999999,6.453778142692752,2.667519235773064e-13,411.8102238817616,0.006340569229794598,2.6207269621404933e-16,0.40458645716167607,6.732503882030064e-12,8.568182733459233,8.006689906249974e-13,6.614405703147018e-16,0.008417884004354967,7.866240600408018e-17
0.93024,6.443838552944971,5.739423593705321e-14,411.9038255600018,0.006329215179868724,5.637330394687596e-17,0.4045768564746079,-3.2473939433475173e-12,8.284130762107058,6.981492450952677e-13,-3.1896291119608355e-16,0.00813677216471895,6.857305259225345e-17
0.9431599999999999,6.434349498574484,-2.812062340119917e-13,411.994238462574,0.006318283462481541,-2.7613369436930875e-16,0.40456247894095093,-4.07807119330957e-12,8.011197313699048,-1.5757423216355225e-12,-4.004508891725374e-16,0.007866687302739052,-1.547318288216659e-16
0.9560799999999999,6.425291703009407,-3.0374196018565724e-13,412.08186592146086,0.006307755345551242,-2.9818567959053594e-16,0.4045437487847265,1.0623016352935587e-11,7.74807226660838,-2.4733589053815188e-12,1.042869200081975e-15,0.007606338593861162,-2.42811432974784e-16
0.969,6.416644259915607,1.655514266630246e-13,412.1670771836155,0.0062976104911931724,1.6248031824017199e-16,0.40452105559457985,-1.1018008408704178e-11,7.493455534421731,1.872662175828635e-12,-1.0813615736837282e-15,0.007354446074510062,1.8379228280786994e-16
0.9819199999999999,6.408385131221145,-4.1888939118260687e-13,412.250144757943,0.006287827448075175,-4.1100903857249804e-16,0.40449469290682466,1.4513291732388122e-11,7.246392508797625,-2.729319253604554e-12,1.4240260572392145e-15,0.007110069819986246,-2.6779739616093534e-16
0.99484,6.4004911841631404,-6.036497493423792e-13,412.3312711910015,0.006278383690642161,-5.921334210269605e-16,0.40446488460022995,1.0598812053411434e-11,7.006185076289012,-3.3657346568646575e-12,1.039660970098194e-15,0.00687252225664065,-3.3015237375803166e-16
1.00776,6.392938552196451,3.6252826707471246e-13,412.4105992055205,0.006269255975833266,3.555145237530476e-16,0.4044317949337825,7.629713368284822e-12,6.772365035605377,1.7414741641995718e-12,7.482103220213262e-16,0.006641341790373681,1.707782300975871e-16
1.02068,6.385703409652891,-2.8320318565375743e-13,412.488216725052,0.006260421104932341,-2.776469695994272e-16,0.40439553356296426,-2.3951159466998483e-12,6.544695275791482,-1.2344487337054282e-12,-2.3481257207801936e-16,0.006416293680032213,-1.2102298540461884e-16
1.0335999999999999,6.378762584584848,2.1104983455637651e-13,412.56416947893166,0.00625185652559685,2.0685097899490056e-16,0.40435616798429136,1.0072917974492866e-11,6.323134502373962,7.604103774562198e-13,9.872516359649653e-16,0.006197335169116676,7.452819441688997e-17
1.04652,6.372093827374247,-4.399274169066435e-13,412.6384764373683,0.006243540595530409,-4.310521409373685e-16,0.40431373873478493,-7.586608928199132e-12,6.107774680755311,-1.5993846183044678e-12,-7.433553571062748e-16,0.005984553931680342,-1.5671179776657053e-16
1.05944,6.365676488851214,6.485111830724789e-13,412.71113287998617,0.006235453246894074,6.352445288758565e-16,0.40426826246243297,-5.605029204537808e-12,5.898812034980852,4.033741026556031e-12,-5.490366595535023e-16,0.005778139483016213,3.9512224074251916e-16
1.07236,6.3594915570844,3.0676548014965085e-13,412.78212591078983,0.00622757602143457,3.004022147424126e-16,0.4042197471801288,-3.4444911368948296e-12,5.696483622630492,1.9120484294264907e-12,-3.373041731028664e-16,0.00557832092335579,1.8723866277726723e-16
1.08528,6.353521851972069,-2.489336522456438e-13,412.8514504489862,0.006219892259999417,-2.4369798875807395e-16,0.40416820796486824,5.621976548460629e-12,5.5010221248720965,-2.11285616513406e-12,5.503733084480502e-16,0.005385322618502884,-2.0684178026286835e-16
1.0981999999999998,6.347751714993649,-2.405906860457202e-13,412.9191027956064,0.006212386797441693,-2.3546012331381283e-16,0.4041136606776469,9.440274310018909e-12,5.312615362841763,-1.3714117660039984e-12,9.23896178063545e-16,0.005199324583229563,-1.3421666018939367e-16
1.1111199999999999,6.342167056482648,-1.0743984297334033e-13,412.9850942642724,0.006205046007812169,-1.0511693602272046e-16,0.404056135328555,4.528890052631645e-12,5.131403704713489,-9.814675941327949e-13,4.4309730239883543e-16,0.005020460008201637,-9.602477390666912e-17
1.12404,6.336755124796824,4.5335292174532743e-13,413.0494403791458,0.006197857577310264,4.434157208063356e-16,0.4039956655165423,-7.939199782981247e-12,4.957483328141531,2.8075997983965356e-12,-7.765177691683017e-16,0.004848818520614124,2.7460590383954083e-16
1.13696,6.331504473477526,-6.243549882443985e-13,413.11216571314964,0.00619081047116628,-6.104810341901816e-16,0.40393229318188584,1.0457695557618887e-11,4.7909030700850295,-3.7823016635638996e-12,1.0225312393535638e-15,0.004684443170950619,-3.698254157757904e-16
1.14988,6.3264047305285445,3.9381377172059366e-13,413.17330367473113,0.006183894707039476,3.849426336494871e-16,0.40386606840924055,-3.5622243057093357e-12,4.6316574119333165,2.7885809186627895e-12,-3.481980835507334e-16,0.004527323649759872,2.725764714333953e-16
1.1627999999999998,6.321446610217063,-4.013338969552529e-13,413.2328967958118,0.006177101365782127,-3.9216975415249627e-16,0.40379704972243124,8.000178176061827e-12,4.479704309227954,-2.514390224853487e-12,7.817500421182072e-16,0.0043774137967261765,-2.4569761084351527e-16
