Elapsed Time (s),Displacement (mm)
0.094117642,24.32580386
0.094705877,24.32580386
0.095294113,24.32580386
0.095882348,24.7367896
0.096470584,24.7367896
0.097058818,24.7367896
0.097647054,24.7367896
0.098235289,25.38761961
0.098823524,25.38761961
0.09941176,25.38761961
0.099999995,25.38761961
0.10058823,25.79925503
0.101176465,25.79925503
0.101764701,26.03963284
0.102352936,26.03963284
0.102941172,26.44960097
0.103529406,26.44960097
0.104117642,26.44960097
0.104705877,26.44960097
0.105294112,27.10114391
0.105882348,27.10114391
0.106470582,27.10114391
0.107058818,27.5118464
0.107647053,27.5118464
0.108235289,27.5118464
0.108823523,27.5118464
0.109411759,28.1628132
0.109999994,28.1628132
0.11058823,28.1628132
0.111176465,28.1628132
0.1117647,28.57411323
0.112352935,28.57411323
0.11294117,28.57411323
0.113529406,28.57411323
0.114117641,29.22480587
0.114705877,29.22480587
0.115294111,29.22480587
0.115882347,29.22480587
0.116470582,29.63657102
0.117058818,29.8764083
0.117647053,29.8764083
0.118235289,29.8764083
0.118823523,30.2868789
0.119411758,30.2868789
0.119999994,30.2868789
0.120588229,30.2868789
0.121176464,30.93816462
0.121764699,30.93816462
0.122352935,30.93816462
0.12294117,30.93816462
0.123529406,31.3491881
0.12411764,31.3491881
0.124705876,31.3491881
0.125294111,31.3491881
0.125882346,31.99995764
0.126470582,31.99995764
0.127058816,31.99995764
0.127647052,31.99995764
0.128235287,32.41149584
0.128823523,32.41149584
0.129411758,32.65176648
0.129999994,32.65176648
0.130588228,33.0620444
0.131176464,33.0620444
0.131764699,33.0620444
0.132352935,33.0620444
0.13294117,33.71339488
0.133529404,33.71339488
0.13411764,33.71339488
0.134705875,33.71339488
0.135294111,34.12418686
0.135882346,34.12418686
0.136470581,34.36561803
0.137058816,34.36561803
0.137647052,34.77522091
0.138235287,34.77522091
0.138823523,34.77522091
0.139411757,34.77522091
0.139999993,35.42713057
0.140588228,35.42713057
0.141176463,35.42713057
0.141764699,35.42713057
0.142352933,35.83715925
0.142941169,35.83715925
0.143529404,35.83715925
0.14411764,35.83715925
0.144705875,36.4887234
0.145294111,36.4887234
0.145882345,36.4887234
0.146470581,36.4887234
0.147058816,36.89931889
0.147647051,36.89931889
0.148235287,36.89931889
0.148823521,36.89931889
0.149411757,37.5504683
0.149999992,37.5504683
0.150588228,37.5504683
0.151176462,37.5504683
0.151764698,37.5504683
0.152352933,38.20241331
0.152941169,38.20241331
0.153529404,38.20241331
0.154117639,38.20241331
0.154705874,38.61238847
0.155294109,38.61238847
0.155882345,38.61238847
0.15647058,39.26406144
0.157058816,39.26406144
0.15764705,39.26406144
0.158235286,39.26406144
0.158823521,39.26406144
0.159411757,39.67440145
0.159999992,39.67440145
0.160588228,39.91636191
0.161176462,39.91636191
0.161764697,40.32576681
0.162352933,40.32576681
0.162941168,40.32576681
0.163529403,40.32576681
0.164117638,40.97778572
0.164705874,40.97778572
0.165294109,40.97778572
0.165882344,40.97778572
0.166470579,41.38755378
0.167058815,41.38755378
0.16764705,41.38755378
0.168235286,41.38755378
0.168823521,42.03932107
